"";"scinam";"N_offspring";"prop_epp_young";"N_broods";"prop_epp_broods";"quasi_parasitism";"method";"authors";"year";"journal";"volume";"title";"number_of_seasons";"latit";"longit";"coordinates_exact";"area_name";"area_size_string";"comments";"discard";"doi";"WOK_id";"filename";"pk";"id";"family";"common.name";"HBW.migration";"HBW.parental";"mating.system";"parental.care"
"1";"actitis hypoleucos";53;1,8;15;6,7;1;"multi-locus";"Blomqvist et al.";2002;"Nature";"419";"Genetic similarity between mates and extra-pair parentage in three species of shorebirds";1;57,783;12,317;"Y";"Savean, Sweden";NA;NA;0;"10.1038/nature01104";"000178483100044";"35.pdf";35;1508;"scolopacidae";"common sandpiper";1;"pair";"monogamy";"Mf"
"2";"actitis hypoleucos";83;15,7;27;18,5;NA;"multi-locus";"Mee et al.";2004;"Animal Behaviour";"67";"Extrapair paternity in the common sandpiper, Actitis hypoleucos, revealed by DNA fingerprinting";2;55,7;-3,033;"Y";"Heriot Water & Leithen Water, Scotland, UK";NA;NA;0;"10.1016/j.anbehav.2003.02.007";"000220133400015";"36.pdf";36;1508;"scolopacidae";"common sandpiper";1;"pair";"monogamy";"Mf"
"3";"actitis macularia";111;10,8;34;20,6;NA;"multi-locus";"Oring et al.";1992;"Nature";"359";"Cuckoldry through stored sperm in the sequentially polyandrous spotted sandpiper";2;47,151;-94,417;"N";"Leech Lake, Minnesota, USA";NA;NA;0;"10.1038/359631a0";"A1992JT82400055";"37.pdf";37;1509;"scolopacidae";"spotted sandpiper";1;"male only";"polyandry";"M"
"4";"bartramia longicauda";184;15;56;30;NA;"microsatellite";"ASHLEY E. CASEY, BRETT K. SANDERCOCK, AND SAMANTHA M. WISELY1";2011;"Condor";"113";"Genetic parentage and local population structure in the socially monogamous Upland Sandpiper";5;39,08;-96,574;"N";"Konza Prairie Biological Station, Manhattan, Kansas";"3487 ha preserve with 1500 ha research site";NA;0;"10.1525/cond.2011.100100";"000288736400012";"442.pdf";442;1496;"scolopacidae";"Upland Sandpiper";1;"pair";"monogamy";"Mf"
"5";"calidris alba";342;2,05;48;6,3;NA;"microsatellite";"Reneerkens Jeroen,van Veelen Pieter,van der Velde Marco,Luttikhuizen Pieternella,Piersma Theunis";2014;"auk";"131(2),235-247";"Within-population variation in mating system and parental care patterns in the Sanderling (Calidris alba) in northeast Greenland";6;74,5;-21;"N";"Zackenberg, Greenland";"100-150 breeding pairs";"data available per year, from text, doesn't match their table 5 exactly, all broods (monogamous/polyandrous/polygynous)";0;"10.1642/AUK-13-247.1";"000336477300012";"auk-13-247%2E1.pdf";621;1519;"scolopacidae";"sanderling";1;"pair";"monogamy/polyandry";"MF"
"6";"calidris maritima";82;1,2;NA;NA;NA;"multi-locus";"Pierce & Lifjeld";1998;"The Auk";"115";"High paternity without paternity-assurance behavior in the purple sandpiper, a species with high paternal investment";2;78,217;15,583;"Y";"Adventdalen, near Longyearbyen, Spitsbergen, Norway";"11 sites, 31 km2 total";NA;0;"10.2307/4089409";"000074893700005";"40.pdf";40;1532;"scolopacidae";"purple sandpiper";1;"pair";"monogamy";"Mf"
"7";"calidris mauri";61;6,6;25;8;NA;"multi-locus";"Blomqvist et al.";2002;"Nature";"419";"Genetic similarity between mates and extra-pair parentage in three species of shorebirds";1;64,333;-164,933;"Y";"Nome, Alaska, USA";NA;"data overlaps with epp_pk 39";0;"10.1038/nature01104";"000178483100044";"38.pdf";38;1521;"scolopacidae";"Western Sandpiper";1;"pair";"monogamy";"Mf"
"8";"calidris mauri";98;5;40;8;NA;"multi-locus";"Blomqvist et al.";2002;"The Auk";"119";"Genetic parentage and mate guarding in the arctic-breeding western sandpiper";1;64,333;-164,933;"Y";"21 km east of Nome, Alaska, USA";"4 km2";"data overlaps with epp_pk 38";0;"10.1642/0004-8038(2002)119[0228:GPAMGI]2.0.CO;2";"000174275200022";"39.pdf";39;1521;"scolopacidae";"Western Sandpiper";1;"pair";"monogamy";"Mf"
"9";"charadrius alexandrinus";229;1,3;89;3,4;1;"multi-locus";"Kuepper et al.";2004;"Behavioral Ecology and Sociobiology";"57";"Genetic mating system and timing of extra-pair fertilizations in the kentish plover";2;36,717;35,05;"Y";"Lake Tuzla, Cukurova Delta, Turkey";"160 ha, 3 subareas, 1000 pairs total";"data overlaps with epp_pk 33";0;"10.1007/s00265-004-0832-3";"000224754000005";"32.pdf";32;1431;"charadriidae";"Kentish plover";1;"pair";"monogamy/polygamy";"Mf"
"10";"charadrius alexandrinus";170;0,6;65;1,5;1;"multi-locus";"Blomqvist et al.";2002;"Nature";"419";"Genetic similarity between mates and extra-pair parentage in three species of shorebirds";2;36,717;35,05;"Y";"Tuzla, Turkey";NA;"data overlaps with epp_pk 32";0;"10.1038/nature01104";"000178483100044";"33.pdf";33;1431;"charadriidae";"Kentish plover";1;"pair";"monogamy/polygamy";"Mf"
