Scientific name;Common name;N;EPP;Nbr;EPbr;Lat;Long;Habitat;Remarks;Ref
Acanthiza pusilla;brown thornbill;178;6.2;67;11.9;-35.27;149.1;1,8,6,7,9;;-2
Accipiter cooperii;Cooper?s hawk;140;19.3;44;34.1;44.97;-90.05;-;;-3
Acrocephalus arundinaceus;great reed warbler;194;9.8;48;10.4;49.67;10.85;11;;-4
Acrocephalus arundinaceus;great reed warbler;678;3.4;-;-;59.17;15.42;11;;-5
Acrocephalus arundinaceus;great reed warbler;-;-;272;6.6;59.17;15.42;11;;-6
Acrocephalus bistrigiceps;black-browed reed-warbler;140;6.4;37;13.5;36.87;139.05;11,12;;-7
Acrocephalus palustris;marsh warbler;131;3.1;33;9.1;50.37;10.75;6,7,11,12,9;;-8
Acrocephalus schoenobaenus;sedge warbler;201;7.5;44;22.7;59.17;15.42;12;;-9
Acrocephalus schoenobaenus;sedge warbler;403;8.4;85;18.8;51.45;-0.55;12;;-10
Acrocephalus scirpaceus;Eurasian reed-warbler;186;6.5;52;15.4;52.3;0.3;11,12;;-11
Actitis hypoleucos;common sandpiper;83;15.7;27;18.5;54.75;-3.02;-;;-12
Actitis hypoleucos;common sandpiper;53;7.5;15;20;57.78;12.32;-;;-13
Aegolius funereus;boreal owl;109;0;32;0;37.8Ä;-107.8Ä;-;Sampled over large geographic range;-14
;;;;;;64.9;-147.7;;;
Agelaius phoeniceus;red-winged blackbird;125;25.6;40;50;42.4;-85.4;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;87;26.4;27;48.1;41.55;-80.18;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;56;28.6;20;50;26.53;-78.53;12,9;;-15
Agelaius phoeniceus;red-winged blackbird;235;24.7;68;41.2;42.5;-76.47;12,9;;-16
Agelaius phoeniceus;red-winged blackbird;617;25.6;203;-;44.52;-76.37;12,9;;-17
Agelaius phoeniceus;red-winged blackbird;403;33.7;134;53.7;46.88;-119.25;12,9;;-18
Agelaius xanthomus;yellow-shouldered blackbird;87;23;30;36.7;17.93;-67.1;1,6,8;;-19
Alauda arvensis;skylark;171;20.5;52;26.9;51.17;-4.63;10,4,12,9;;-20
Alle alle;little auk;26;0;26;0;77;15.37;-;;-21
Alle alle;little auk;62;3.2;64;3.1;77;15.55;-;;-22
