"","Scientific.name","Common.name","N","EPP","Nbr","EPbr","Lat","Long","Habitat","Remarks","Ref"
"1","actitis hypoleucos","common sandpiper","83","15.7","27","18.5","54.75","-3.02","-","","-12"
"2","actitis hypoleucos","common sandpiper","53","7.5","15","20","57.78","12.32","-","","-13"
"3","bartramia longicauda","upland sandpiper","177","18.1","56","30","39.08","-96.58","-","","-34"
"4","calidris alba","sanderling","342","2","48","6.2","74.5","-21","-","","-43"
"5","calidris maritima","purple sandpiper","82","1.2","27","3.7","78.22","15.58","-","","-44"
"6","calidris mauri","western sandpiper","61","6.6","25","8","64.33","-164.93","-","","-13"
"7","charadrius alexandrinus","Kentish plover","46","0","19","0","38.4","-26.96","-","","-60"
"8","charadrius alexandrinus","Kentish plover","120","0.8","63","1.6","15.9","-23.98","-","","-60"
"9","charadrius alexandrinus","Kentish plover","184","1.6","73","4.1","36.72","35.05","-","","-60"
"10","charadrius alexandrinus","Kentish plover","19","0","12","0","16.8","41.88","-","","-60"
"11","charadrius alexandrinus","Kentish plover","57","0","28","0","24.27","54.6","-","","-60"
"12","charadrius falklandicus","two-banded plover","15","0","6","0","-52.43","-59.08","-","","-60"
"13","charadrius hiaticula","ringed plover","50","0","18","0","57.13","12.21","-","","-61"
"14","charadrius marginatus","white-fronted plover","17","0","10","0","-24.05","43.73","-","","-60"
"15","charadrius modestus","rufous-chested dotterel","14","0","8","0","-52.43","-59.08","-","","-60"
"16","charadrius pecuarius","Kittlitz?s plover","18","0","15","0","-22.03","43.65","-","","-60"
"17","charadrius ruficapillus","red-capped plover","7","0","4","0","-37.88","144.78","-","","-60"
"18","charadrius semipalmatus","semipalmated plover","85","4.7","24","4.2","58.75","-95.07","-","","-62"
"19","charadrius thoracicus","Madagascar plover","20","0","12","0","-20","46","-","","-60"
"20","phalaropus lobatus","red-necked phalarope","226","1.8","63","6.3","66.55","-163.61","-","","-275"
"21","pluvialis dominica","American golden plover","131","7.6","37","16.2","71.29","-156.8","-","","-291"
"22","steganopus tricolor","Wilson?s phalarope","43","0","15","0","51.45","-105.17","-","","-323"
