"external"	"data_type"	"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"sex"	"lat"	"lon"	"caught_time"	"dead"
1	"survey_plot"	2004	"162115918"	NA	"M"	"O,GF"	"BK,R"	"M"	-2082054.52685544	4598.96152199858	2004-06-28 20:33:00	0
1	"survey_plot"	2006	"162115918"	NA	"M"	"O,GF"	"BK,R"	"M"	-2082164.45953351	4670.06891821493	2006-07-05 21:30:00	0
1	"survey_plot"	2004	"162115935"	NA	"M"	"O,GF"	"BK,LB"	"M"	-2084585.85973595	2403.38180066205	2004-07-02 19:02:00	0
1	"survey_plot"	2006	"162115935"	NA	"M"	"O,GF"	"BK,LB"	"M"	-2084543.96568511	2455.72387498753	2006-07-05 16:11:00	0
1	"survey_plot"	2004	"162115947"	NA	"M"	"GF,O"	"R,DB"	"M"	-2084672.83182668	3217.40269712171	2004-07-09 12:52:00	0
1	"survey_plot"	2004	"162116108"	NA	"M"	"R,R"	"O,GF"	"M"	-2085112.70380555	4113.32957518195	2004-06-18 11:46:00	0
1	"survey_plot"	2004	"162116117"	NA	"M"	"GF,O"	"R,DG"	"M"	-2082890.08793375	4610.25905886693	2004-06-22 00:25:00	0
1	"survey_plot"	2004	"162116131"	NA	"M"	"O,GF"	"Y,DB"	"M"	-2082323.3513821	4506.15233618358	2004-06-26 22:40:00	0
1	"survey_plot"	2004	"162116141"	NA	"M"	"O,GF"	"R,BK"	"M"	-2084820.303707	3246.01221098711	2004-06-28 19:47:00	0
1	"survey_plot"	2004	"162116175"	NA	"M"	"GF,O"	"Y,R"	"M"	-2082789.09680965	4476.62478530594	2004-07-02 15:20:00	0
1	"survey_plot"	2005	"162116175"	NA	"M"	"GF,O"	"Y,R"	"M"	-2082655.66010293	4581.38766457359	2005-07-08 20:57:00	0
1	"survey_plot"	2004	"162116200"	NA	"M"	"O,GF"	"O,Y"	"M"	-2082133.51538567	4722.69290562696	2004-07-06 12:53:00	0
1	"survey_plot"	2004	"162116201"	NA	"M"	"GF,O"	"DG,Y"	"M"	-2078800.65220177	895.002356067597	2004-07-07 14:15:00	0
1	"survey_plot"	2004	"162116206"	NA	"M"	"GF,O"	"LG,R"	"M"	-2078742.26431972	977.334870354165	2004-07-07 15:17:00	0
1	"survey_plot"	2004	"162116256"	NA	"M"	"GF,O"	"DB,Y"	"M"	-2084669.47673092	3251.23504240034	2004-07-12 18:30:00	0
1	"survey_plot"	2005	"162116410"	NA	"M"	"Y,GF"	"O,R,Y"	"M"	-2084529.11901181	2874.46269906007	2005-06-23 14:30:00	0
1	"survey_plot"	2005	"162116417"	NA	"M"	"Y,GF"	"O,LB,R"	"M"	-2085136.53215501	3735.98504105974	2005-06-28 22:35:00	0
1	"survey_plot"	2005	"162116424"	NA	"M"	"Y,GF"	"O,Y,R"	"M"	-2084378.16419659	2971.02356654226	2005-06-30 16:14:00	0
1	"survey_plot"	2005	"162116439"	NA	"M"	"Y,GF"	"O,LB,DG"	"M"	-2084244.04485709	2836.60129693162	2005-07-03 17:46:00	0
1	"survey_plot"	2005	"162116451"	NA	"M"	"Y,GF"	"O,LB,DG"	"M"	-2082958.30451096	4627.86028561667	2005-07-05 21:17:00	0
1	"survey_plot"	2005	"162116480"	NA	"M"	"Y,GF"	"O,Y,O"	"M"	-2084742.97166825	2660.44585912164	2005-07-07 19:02:00	0
1	"survey_plot"	2006	"162116480"	NA	"M"	"Y,GF"	"O,Y,O"	"M"	-2084677.64782808	2937.97664652255	2006-06-27 10:30:00	0
1	"survey_plot"	2005	"162116492"	NA	"M"	"Y,GF"	"O,Y,LB"	"M"	-2079091.43991982	487.987464959354	2005-07-08 15:27:00	0
1	"survey_plot"	2005	"162116521"	NA	"M"	"Y,GF"	"R,O,Y"	"M"	-2084661.20921497	3593.23456866716	2005-07-03 14:30:00	0
1	"survey_plot"	2005	"162116571"	NA	"M"	"Y,GF"	"Y,R,O"	"M"	-2079098.10206541	-59.2205592157613	2005-06-30 12:11:00	0
1	"survey_plot"	2005	"162116572"	NA	"M"	"Y,GF"	"Y,R,LB"	"M"	-2079297.22650911	786.344384083828	2005-06-30 15:52:00	0
1	"survey_plot"	2005	"162116579"	NA	"M"	"Y,GF"	"Y,R,Y"	"M"	-2079241.072064	801.927679126981	2005-07-02 17:10:00	0
1	"survey_plot"	2003	"168180541"	NA	"M"	"GF,R"	"R,R"	"M"	-2078802.97451492	548.147810078757	2003-07-04 14:34:00	0
1	"survey_plot"	2003	"168180603"	NA	"M"	"R,GF"	"R,R"	"M"	-2079121.03504361	883.891163588355	2003-06-26 15:23:00	0
1	"survey_plot"	2003	"168180605"	NA	"M"	"R,GF"	"O,Y"	"M"	-2082113.61021787	4253.13615978048	2003-06-27 18:19:00	0
1	"survey_plot"	2003	"168180606"	NA	"M"	"R,GF"	"DB,R"	"M"	-2082013.48480817	4224.95126489912	2003-06-27 19:12:00	0
1	"survey_plot"	2003	"168180620"	NA	"M"	"R,GF"	"O,LG"	"M"	-2082877.54104938	5678.65458561277	2003-07-04 16:05:00	0
1	"survey_plot"	2003	"168180630"	NA	"M"	"R,GF"	"LG,R"	"M"	-2082198.84669652	4553.12672455667	2003-07-06 11:51:00	0
1	"survey_plot"	2003	"168180646"	NA	"M"	"R,GF"	"DB,LG"	"M"	-2078665.36172865	520.539060415268	2003-07-10 18:30:00	0
1	"survey_plot"	2003	"168181036"	NA	"M"	"R,GF"	"R,Y"	"M"	-2079572.60826401	128.776040508057	2003-06-20 19:59:00	0
1	"survey_plot"	2003	"168181038"	NA	"M"	"R,GF"	"DG,LG"	"M"	-2082662.67423288	6134.25643081914	2003-06-21 01:03:00	0
1	"survey_plot"	2003	"168181042"	NA	"M"	"R,GF"	"Y,Y"	"M"	-2078907.58722136	458.191609566721	2003-06-22 14:25:00	0
1	"survey_plot"	2003	"168181043"	NA	"M"	"R,GF"	"O,Y"	"M"	-2078957.07793505	653.77677349571	2003-06-22 15:10:00	0
1	"survey_plot"	2003	"168181044"	NA	"M"	"R,GF"	"O,DG"	"M"	-2078838.09203245	877.96566464926	2003-06-22 17:05:00	0
1	"survey_plot"	2003	"168181061"	NA	"M"	"R,GF"	"R,DB"	"M"	-2082630.39771954	5873.90209647956	2003-06-29 16:43:00	0
1	"survey_plot"	2014	"198103450"	"R"	"M"	NA	"R,DG,O"	"M"	-2084509.19353308	2953.01952158422	2014-07-01 12:32:00	0
1	"survey_plot"	2014	"198103453"	"R"	"M"	NA	"R,DG,Y"	"M"	-2084322.28712752	2777.04728440848	2014-07-02 11:38:00	0
1	"survey_plot"	2014	"198118914"	"R"	"LB,R"	NA	"O,M"	"M"	-2084996.71005771	3069.06688466071	2014-07-09 10:30:00	0
1	"survey_plot"	2014	"198118916"	"R"	"R,O"	NA	"O,M"	"M"	-2084433.68037802	2618.57762731367	2014-07-05 13:35:00	0
1	"survey_plot"	2014	"198118940"	"R"	"M"	NA	"R,LB,Y"	"M"	-2079011.00102753	725.276345437828	2014-07-09 13:55:00	0
1	"survey_plot"	2014	"198118947"	NA	"M"	NA	NA	"M"	-2082663.9805124	4293.15436339835	2014-07-17 11:30:00	0
1	"survey_plot"	2014	"198118954"	"R"	"LB,Y"	NA	"R,M"	"M"	-2082648.10854837	4510.490035111	2014-07-15 10:48:00	0
1	"survey_plot"	2014	"198118958"	"R"	"LB,O"	NA	"R,M"	"M"	-2081922.94621541	4353.03561069847	2014-07-12 12:15:00	0
1	"survey_plot"	2014	"198118995"	"R"	"M"	NA	"Y,DG,R"	"M"	-2082732.0780326	4369.26767888933	2014-07-08 13:42:00	0
1	"survey_plot"	2005	"199124320"	NA	"M"	"Y,GF"	"R,Y,DG"	"M"	-2084725.55571867	3928.45541388011	2005-07-08 19:26:00	0
1	"survey_plot"	2005	"199124334"	NA	"M"	"Y,GF"	"R,DG,O"	"M"	-2085508.69454519	3010.85401950392	2005-07-10 18:18:00	0
1	"survey_plot"	2005	"199124409"	NA	"M"	"Y,GF"	"Y,LB,O"	"M"	-2084454.30679831	2840.16171714066	2005-07-06 16:29:00	0
1	"survey_plot"	2005	"199124415"	NA	"M"	"Y,GF"	"Y,LB,R"	"M"	-2084871.48373899	2878.2097178121	2005-07-06 21:11:00	0
1	"survey_plot"	2005	"199124446"	NA	"M"	"Y,GF"	"Y,LB,Y"	"M"	-2083109.8112866	4811.8013226919	2005-07-10 13:30:00	0
1	"survey_plot"	2005	"199124516"	NA	"M"	"Y,GF"	"R,Y,DG"	"M"	-2079166.18474438	858.508546565839	2005-07-10 12:00:00	0
1	"survey_plot"	2006	"199177306"	"Y,GF"	"LB,R,LB"	NA	"M"	"M"	-2084801.97460081	3676.80290126967	2006-06-20 10:20:00	0
1	"survey_plot"	2006	"199177501"	"Y,GF"	"R,O,Y"	NA	"M"	"M"	-2078907.58682072	460.005798679342	2006-07-09 14:30:00	0
1	"survey_plot"	2006	"199177504"	"Y,GF"	"R,Y,R"	NA	"M"	"M"	-2078782.01103372	699.073712564193	2006-07-09 18:38:00	0
1	"survey_plot"	2006	"199177530"	"Y,GF"	"DG,LB,O"	NA	"M"	"M"	-2082994.32488118	4764.99977343885	2006-07-11 21:00:00	0
1	"survey_plot"	2006	"199177534"	"Y,GF"	"DG,LB,R"	NA	"M"	"M"	-2082740.90132668	4858.93233733687	2006-07-12 13:50:00	0
1	"survey_plot"	2006	"199177642"	"Y,GF"	"LB,DG,Y"	NA	"M"	"M"	-2082106.11815871	4667.0308816566	2006-07-08 18:07:00	0
1	"survey_plot"	2006	"221113109"	"Y,GF"	"LB,DB,O"	NA	"M"	"M"	-2079497.70198014	436.908161779162	2006-07-03 12:00:00	0
1	"survey_plot"	2006	"221113177"	"Y,GF"	"O,R,LB"	NA	"M"	"M"	-2078899.85179436	573.934746513598	2006-07-10 15:44:00	0
1	"survey_plot"	2006	"221113205"	"Y,GF"	"LB,R,DG"	NA	"M"	"M"	-2079682.70243388	-134.372643859064	2006-07-06 11:23:00	0
1	"survey_plot"	2006	"221113313"	"Y,GF"	"R,Y,DG"	NA	"M"	"M"	-2082034.32573129	4262.42221683948	2006-07-10 14:09:00	0
1	"survey_plot"	2006	"221113328"	"Y,GF"	"R,Y,LB"	NA	"M"	"M"	-2082926.83710356	4908.44419357374	2006-07-09 10:47:00	0
1	"survey_plot"	2006	"221113726"	"Y,GF"	"R,DG,R"	NA	"M"	"M"	-2082336.7058301	4439.30864446692	2006-07-11 19:15:00	0
1	"survey_plot"	2006	"221113727"	"Y,GF"	"R,DG,O"	NA	"M"	"M"	-2082179.73930023	4728.97573413575	2006-07-11 17:50:00	0
1	"survey_plot"	2014	"241159604"	"R"	"LB,DG"	NA	"DG,M"	"M"	-2080589.48325708	2495.73046748416	2014-07-12 12:20:00	0
1	"survey_plot"	2014	"241159606"	"R"	"LB,Y"	NA	"DG,M"	"M"	-2080657.66142261	2561.17813404588	2014-07-12 11:30:00	0
1	"survey_plot"	2014	"241159613"	"R"	"R,DG"	NA	"DG,M"	"M"	-2080315.45102565	2410.80317477393	2014-07-09 17:15:00	0
1	"survey_plot"	2014	"241159619"	"R"	"M"	NA	"DG,R,LB"	"M"	-2080794.05758621	2656.13278563369	2014-07-07 14:41:00	0
1	"survey_plot"	2014	"245102017"	"R"	"M"	NA	"O,R,LB"	"M"	-2082767.68978147	4699.04891484255	2014-06-30 16:34:00	0
1	"survey_plot"	2014	"245102058"	"R"	"M"	NA	"Y,DG,LB"	"M"	-2080555.28793717	2550.52146526507	2014-06-30 17:57:00	0
1	"survey_plot"	2014	"245102067"	"R"	"M"	NA	"DG,O,LB"	"M"	-2080579.15226616	2826.16652100588	2014-07-06 11:30:00	0
1	"survey_plot"	2014	"245102070"	"R"	"M"	NA	"DG,O,Y"	"M"	-2080559.78503674	2473.18098796989	2014-07-06 16:00:00	0
1	"survey_plot"	2014	"245102094"	"R"	"M"	NA	"R,Y,O"	"M"	-2084279.45632863	2698.4145988723	2014-06-29 15:26:00	0
1	"survey_plot"	2014	"245107636"	"R"	"M"	NA	"DG,LB,Y"	"M"	-2084415.52267886	3020.55360148527	2014-06-24 19:42:00	0
1	"survey_plot"	2014	"245116044"	NA	"M"	"DG,R,Y"	"R"	"M"	-2084455.47839064	2787.77513786943	2014-06-22 10:02:00	0
1	"survey_plot"	2018	"245125502"	"M"	NA	"Y,DG,LB"	"R"	"M"	-2084479.40286272	2901.70057338336	2018-06-24 18:30:00	0
1	"survey_plot"	2017	"245125511"	"R"	NA	"M"	"O,R,LB"	"M"	-2080553.58116961	2922.83176023334	2017-07-07 11:54:00	0
1	"survey_plot"	2019	"245125556"	"DG,M"	NA	"Y"	"R,O"	"M"	-2079684.90515545	120.79757760371	2019-07-01 10:02:00	0
1	"survey_plot"	2019	"245125558"	"DG,M"	NA	"Y"	"R,LB"	"M"	-2079622.11718929	395.556571513973	2019-07-01 12:34:00	0
1	"survey_plot"	2019	"245125562"	"M"	NA	"Y"	"Y,O,R"	"M"	-2079612.23658499	201.007695504373	2019-06-28 12:29:00	0
1	"survey_plot"	2019	"245125564"	"M"	NA	"Y"	"DG,Y,DG"	"M"	-2079202.55324429	763.446551434016	2019-06-28 11:22:00	0
1	"survey_plot"	2019	"245125565"	"M"	NA	"Y"	"DG,Y,LB"	"M"	-2078838.08319525	898.646729119456	2019-06-27 12:02:00	0
1	"survey_plot"	2019	"245125569"	"M"	NA	"Y"	"DG,Y,R"	"M"	-2079466.89755189	314.592442212535	2019-06-26 16:42:00	0
1	"survey_plot"	2019	"245125570"	"M"	NA	"Y"	"DG,Y,O"	"M"	-2079461.41005852	165.062603095163	2019-06-26 15:49:00	0
1	"survey_plot"	2019	"245125571"	"M"	NA	"Y"	"DG,LB,Y"	"M"	-2079388.75375644	32.9532996071768	2019-06-26 15:30:00	0
1	"survey_plot"	2019	"245125572"	"M"	NA	"Y"	"DG,LB,DG"	"M"	-2079199.35084071	406.362821572266	2019-06-26 13:08:00	0
1	"survey_plot"	2017	"245125639"	"R"	NA	"M"	"LB,O,DG"	"M"	-2083065.72249656	5138.72818457242	2017-07-06 10:10:00	0
1	"survey_plot"	2017	"245125640"	"R"	NA	"M"	"R,DG,Y"	"M"	-2083141.66664783	4994.11861329848	2017-07-06 10:30:00	0
1	"survey_plot"	2017	"245125643"	"R"	NA	"M"	"R,DG,LB"	"M"	-2083107.83277666	4736.07028737552	2017-07-07 09:19:00	0
1	"survey_plot"	2017	"245125645"	"R"	NA	"M"	"LB,O,R"	"M"	-2082961.71828804	4722.42458847788	2017-07-07 10:35:00	0
1	"survey_plot"	2017	"245125649"	"R"	NA	"M"	"LB,R,O"	"M"	-2082662.43098169	4842.65964035083	2017-07-07 12:10:00	0
1	"survey_plot"	2017	"245125651"	"R"	NA	"M"	"DG,LB,R"	"M"	-2081944.90792893	4571.52450319922	2017-07-07 14:30:00	0
