scinam;name;simple_social_maiting_system;parental_care;type;n_offspring;n_epyoung;n_broods;n_epbroods
phalaropus fulicarius;red phalarope;sequential polyandry;male only;total;496;22;142;18
phalaropus fulicarius;red phalarope;sequential polyandry;male only;total;600;18;165;17
phalaropus fulicarius;red phalarope;sequential polyandry;male only;single_year;;;34;1
phalaropus fulicarius;red phalarope;sequential polyandry;male only;single_year;;;35;2
phalaropus fulicarius;red phalarope;sequential polyandry;male only;single_year;;;96;14
phalaropus fulicarius;red phalarope;sequential polyandry;male only;monogamous;51;1;11;1
phalaropus fulicarius;red phalarope;sequential polyandry;male only;renesting;23;0;6;0
phalaropus fulicarius;red phalarope;sequential polyandry;male only;polyandrous;51;3;11;3
actitis hypoleucos;common sandpiper;monogamy;pair;total;53;1;15;1
actitis hypoleucos;common sandpiper;monogamy;pair;total;83;13;27;5
actitis macularia;spotted sandpiper;sequential polyandry;male only;total;34;1;9;1
bartramia longicauda;Upland Sandpiper;monogamy;pair;total;177;27;56;17
calidris alba;sanderling;monogamy;pair;total;342;7;48;3
calidris maritima;purple sandpiper;monogamy;pair;total;82;1;27;1
calidris mauri;Western Sandpiper;monogamy;pair;total;98;5;40;3
calidris pusilla;semipalmated sandpiper;monogamy;pair;total;645;19;215;12
Calidris subruficollis;buff-breasted sandpiper;polygyny;female only;single_year;109;NA;30;11
Calidris subruficollis;buff-breasted sandpiper;polygyny;female only;single_year;55;NA;17;8
Calidris subruficollis;buff-breasted sandpiper;polygyny;female only;total;164;NA;47;19
charadrius alexandrinus;Kentish plover;monogamy;pair;total;229;3;89;3
charadrius alexandrinus;Kentish plover;monogamy;pair;total;19;0;12;0
charadrius alexandrinus;Kentish plover;monogamy;pair;total;46;0;19;0
charadrius alexandrinus;Kentish plover;monogamy;pair;total;57;0;28;0
charadrius alexandrinus;Kentish plover;monogamy;pair;total;120;1;63;1
charadrius alexandrinus;Kentish plover;monogamy;pair;total;184;3;73;3
charadrius alexandrinus;Kentish plover;monogamy;pair;total;170;5;65;3
charadrius falklandicus;two-banded plover;monogamy;pair;total;15;0;6;0
charadrius hiaticula;common ringed plover;monogamy;occasional_cooperative;total;57;0;21;0
charadrius marginatus;white-fronted plover;monogamy;pair;total;17;0;10;0
charadrius modestus;rufous-chested plover;monogamy;pair;total;14;0;8;0
charadrius montanus;mountain plover;monogamy;male only;total;291;NA;115;14
charadrius morinellus;Eurasian dotterel;monogamy;male only;total;44;2;22;2
charadrius pecuarius;Kittlitzs plover;monogamy;pair;total;18;0;15;0
charadrius ruficapillus;red-capped plover;monogamy;pair;total;7;0;4;0
charadrius semipalmatus;semipalmated plover;monogamy;pair;total;85;4;24;1
charadrius thoracicus;Madagascan plover;monogamy;pair;total;20;0;12;0
irediparra gallinacea;comb-crested jacana;simultaneous polyandry;male only;total;36;1;10;1
jacana jacana;wattled jacana;simultaneous polyandry;male only;total;235;3;74;18
phalaropus fulicarius;red phalarope;sequential polyandry;male only;total;70;6;18;6
phalaropus lobatus;red-necked phalarope;sequential polyandry;male only;total;226;4;63;4
Phalaropus tricolor;wilson's phalarope;sequential polyandry;male only;total;51;0;17;0
philomachus pugnax;ruff;polygyny;female only;total;NA;NA;34;17
philomachus pugnax;ruff;polygyny;female only;total;213;NA;66;34
pluvialis dominica;American golden plover;monogamy;pair;total;131;10;37;6
vanellus chilensis;southern lapwing;monogamy;cooperative;total;58;4;22;3
