source;species;species_short;social_mating_system;type;years;year_;site;N_nests;nests_EPY;percent_nests_EPY;percent_EPY_mean;N_eggs;eggs_EPY;percent_eggs_EPY;N_females;N_polyandrous_females;percent_poly_fem;comment
Heg_et_al_1993;Oystercatcher;OYCA;monogamy;mean;;;;26;1;0.038461538;;;;;;;;
Pierce_and_Lifjeld_1998;Purple Sandpiper;PUSA;monogamy;mean;;;;27;1;0.037037037;;;;;;;;
Blomqvist_et_al_2002b;Common Sandpiper;COSA;monogamy;mean;;;;15;1;0.066666667;;;;;;;;
Mee_et_al_2004;Common Sandpiper;COSA;monogamy;mean;;;;27;5;0.185185185;;;;;;;;
Wallander_et_al_2001;Ringed Plover;RIPL;monogamy;mean;;;;21;0;0;;;;;;;;
Zharikov_and_Nol_2000;Semipalmated Plover;SEPL;monogamy;mean;;;;24;1;0.041666667;;;;;;;;
Blomqvist_et_al_2002a;Western Sandpiper;WESA;monogamy;mean;;;;40;3;0.075;;;;;;;;
KÅpper_et_al_2004;Kentish Plover;KEPL;sequential polyandry;mean;2;1998-1999;Turkey;89;3;0.033707865;;229;3;0.013100437;;;;
own data external;Red Phalarope;REPH;sequential polyandry;mean;8;2003-2019;Barrow;142;18;0.126760563;;496;22;0.044354839;;;;
own data internal;Red Phalarope;REPH;sequential polyandry;mean;3;2017-2019;Barrow;165;17;0.103030303;0.080824262;600;18;0.03;158;9;0.056962025;
own data internal;Red Phalarope;REPH;sequential polyandry;single_year;1;2017;Barrow;34;1;0.029411765;;;;;34;1;0.029411765;
own data internal;Red Phalarope;REPH;sequential polyandry;single_year;1;2018;Barrow;35;2;0.057142857;;;;;36;2;0.055555556;
own data internal;Red Phalarope;REPH;sequential polyandry;single_year;1;2019;Barrow;96;14;0.145833333;;;;;88;6;0.068181818;
own data internal;Red Phalarope;REPH;sequential polyandry;monogamous;3;2017-2019;Barrow;11;1;0.090909091;;51;1;0.019607843;;;;
own data internal;Red Phalarope;REPH;sequential polyandry;renesting;3;2017-2019;Barrow;6;0;0;;23;0;0;;;;
own data internal;Red Phalarope;REPH;sequential polyandry;polyandrous;3;2017-2019;Barrow;11;3;0.272727273;;51;3;0.058823529;;;;
Dale_et_al_1999;Red Phalarope;REPH;sequential polyandry;single_year_only;1;1993;Igloolik Island;18;6;0.333333333;;70;6;0.085714286;;;;
Schamel_et_al_2004;Red-necked Phalarope;RNPH;sequential polyandry;mean;8;1978-1999;Cape_Espenberg;63;4;0.063492063;0.063492063;232;4;0.017241379;47;4;0.09;polyandry percent based on yearly average 
Schamel_et_al_2004;Red-necked Phalarope;RNPH;sequential polyandry;monogamous;8;1978-1999;Cape_Espenberg;25;0;0;;93;0;0;;;;nests times mean clutch size
Schamel_et_al_2004;Red-necked Phalarope;RNPH;sequential polyandry;renesting;8;1978-1999;Cape_Espenberg;16;1;0.0625;;59;1;0.016949153;;;;
Schamel_et_al_2004;Red-necked Phalarope;RNPH;sequential polyandry;polyandrous;8;1978-1999;Cape_Espenberg;6;3;0.5;;22;3;0.136363636;;;;
Delehanty_et_al_1998;Wilsons Phalarope;WIPH;sequential polyandry;single_year_only;1;1990;Saskatchewan;17;0;0;;51;0;0;;;;
Owens_et_al_1995;Eurasian Dotterel;EUDO;sequential polyandry;mean;1;1998-1990;Scotland;22;2;0.090909091;;44;2;0.045454545;;;;
Oring_et_al_1992;Spotted Sandpiper;SPSA;sequential polyandry;mean;2;1990-1991;Minnesota;34;7;0.205882353;0.158496732;111;12;0.108108108;;;;
Oring_et_al_1992;Spotted Sandpiper;SPSA;sequential polyandry;single_year;1;1990;Minnesota;9;1;0.111111111;;34;1;0.029411765;;;;
Oring_et_al_1992;Spotted Sandpiper;SPSA;sequential polyandry;single_year;1;1991;Minnesota;25;6;0.24;;77;11;0.142857143;;;;
Haig_et_al_2003;Comb-crested Jacana;CCJA;simultaneous polyandry;single_year_only;1;1996;Australia;10;1;0.1;;36;1;0.027777778;;;;
Emlen_et_al_1998;Wattled Jacana;WAJA;simultaneous polyandry;mean;2;1990-1991;Panama;74;18;0.243243243;0.243243243;235;24;0.10212766;;;0.375;based on average females observed vs. Males
Emlen_et_al_1998;Wattled Jacana;WAJA;simultaneous polyandry;monogamous;2;1990-1991;Panama;14;0;0;;;;;;;;
Emlen_et_al_1998;Wattled Jacana;WAJA;simultaneous polyandry;polyandrous;2;1990-1991;Panama;60;18;0.3;;;;;;;;
Safari_et_al_2018;Black Coucal;BLCO;simultaneous polyandry;mean;12;2001-2016;Tanzania;62;31;0.5;;251;43;0.171314741;;;;only taking completly genotyped clutches
Thuman_et_al_2004;Ruff;RUFF;Lekking;mean;4;1999-2002;Sweden;66;34;0.515151515;;213;;;;;;
Lank_et_al_2004;Ruff;RUFF;Lekking;mean;3;1987-1990;Finland;34;17;0.5;;;;;;;;
Lanctot_et_al_1997;Buff-breasted Sandpiper ;BBSA;Lekking;mean;2;1993-1994;Alaska;47;19;0.404255319;;109;;;;;;
Cited_in_Lank_et_al_2004;Great Snipe;GRSN;Lekking;mean;;;;7;2;0.285714286;;;;;;;;
