"external"	"data_type"	"year_"	"nestID"	"male_id"	"female_id"	"male_assigned"	"male_field"	"female_assigned"	"female_field"	"found_datetime"	"collected_datetime"	"last_checked_datetime"	"lat"	"lon"	"anyEPY"	"N_parentage"	"N_EPY"
0	"study_site"	2017	"R1001_17"	270170235	270170236	2	1	2	0	"2017-06-24 20:57:00"	"2017-06-28 15:21:00"	"2017-07-14 15:00:00"	71.3258972167969	-156.641006469727	1	3	1
0	"study_site"	2019	"R1001_19"	270170961	270170963	2	1	2	0	"2019-06-14 13:31:00"	"2019-06-17 14:20:00"	"2019-07-05 15:14:00"	71.315645	-156.659077	0	4	0
0	"study_site"	2019	"R1002_19"	273145153	270170850	2	1	2	0	"2019-06-23 14:10:00"	"2019-06-23 14:50:00"	"2019-06-27 10:34:00"	71.315597	-156.651362	1	4	1
0	"study_site"	2019	"R1003_19"	273145301	270171000	2	1	2	1	"2019-06-27 17:00:00"	"2019-06-29 15:38:00"	"2019-07-10 11:38:00"	71.320876	-156.645997	0	4	0
0	"study_site"	2017	"R101_17"	270170173	270170159	2	1	2	0	"2017-06-24 12:36:00"	"2017-06-28 00:53:00"	"2017-07-01 16:22:00"	71.3224029541016	-156.626998901367	0	2	0
0	"own_off_site"	2019	"R101_19"	270170063	270170960	2	1	2	0	"2019-06-23 11:47:00"	"2019-06-23 11:51:00"	"2019-07-07 11:30:00"	71.309532	-156.621306	0	4	0
0	"study_site"	2017	"R102_17"	270170144	270170145	2	1	2	1	"2017-06-25 13:50:00"	"2017-06-25 16:45:00"	"2017-07-14 13:43:00"	71.3189010620117	-156.664993286133	0	4	0
0	"own_off_site"	2019	"R102_19"	270170909	19102	2	1	3	0	"2019-06-23 12:40:00"	"2019-06-23 12:45:00"	"2019-06-29 10:48:00"	71.314172	-156.593614	0	4	0
0	"study_site"	2017	"R103_17"	270170353	270170352	2	1	2	1	"2017-06-26 16:44:00"	"2017-06-27 21:25:00"	"2017-07-05 10:25:00"	71.3252029418945	-156.630004882812	0	4	0
0	NA	2019	"R103_19"	191031	19103	3	0	3	0	"2019-06-24 15:21:00"	"2019-06-24 15:25:00"	"2019-07-08 10:40:00"	71.307429	-156.642543	NA	NA	NA
0	"study_site"	2017	"R1101_17"	270170179	270170166	2	1	2	0	"2017-06-26 17:16:00"	"2017-06-26 17:49:00"	"2017-07-15 16:47:00"	71.3224029541016	-156.628997802734	0	4	0
0	"own_off_site"	2019	"R1101_19"	273145068	19222	2	1	3	0	"2019-07-09 10:36:00"	"2019-07-09 10:37:00"	"2019-07-09 10:38:01"	71.317003	-156.624145	0	4	0
0	"study_site"	2017	"R1102_17"	270170180	270170271	2	1	2	0	"2017-06-27 11:30:00"	"2017-06-28 01:03:00"	"2017-07-05 10:38:00"	71.3203964233398	-156.636001586914	0	4	0
0	NA	2018	"R1201_18"	NA	NA	0	0	0	0	"2018-06-15 17:13:00"	NA	"2018-07-01 10:29:00"	71.306726	-156.706752	NA	NA	NA
0	"study_site"	2017	"R201_17"	270170345	17201	2	1	3	0	"2017-06-23 19:00:00"	"2017-06-23 19:01:00"	"2017-06-29 18:12:00"	71.3208999633789	-156.641006469727	0	4	0
0	NA	2018	"R201_18"	NA	NA	0	0	0	0	"2018-06-16 17:10:00"	NA	"2018-07-11 11:00:00"	71.288518	-156.669323	NA	NA	NA
0	"study_site"	2019	"R201_19"	270170620	273145050	2	1	2	0	"2019-06-12 12:57:00"	"2019-06-12 19:20:00"	"2019-07-01 12:04:00"	71.324033	-156.633078	0	4	0
0	"study_site"	2017	"R202_17"	270170366	270170367	2	1	2	0	"2017-06-24 17:10:00"	"2017-06-26 16:43:00"	"2017-07-17 11:40:00"	71.315803527832	-156.662994384766	0	4	0
0	"study_site"	2018	"R202_18"	270170347	270170087	2	1	2	0	"2018-06-23 14:45:00"	"2018-06-23 17:24:00"	"2018-07-04 11:16:00"	71.3237	-156.636413	0	4	0
0	"study_site"	2019	"R202_19"	270170907	19202	2	1	3	0	"2019-06-12 17:48:00"	"2019-06-12 17:49:00"	"2019-06-18 11:40:00"	71.321321	-156.675787	0	4	0
0	"study_site"	2017	"R203_17"	270170146	270170147	2	1	2	0	"2017-06-24 19:05:00"	"2017-06-27 11:23:00"	"2017-07-08 15:24:00"	71.3207015991211	-156.673004150391	0	3	0
0	"study_site"	2018	"R203_18"	270170752	270170753	2	1	2	1	"2018-06-25 11:11:00"	"2018-06-26 17:15:00"	"2018-07-14 12:30:00"	71.315649	-156.66456	0	4	0
0	"study_site"	2019	"R203_19"	270170736	270170737	2	1	2	0	"2019-06-12 18:18:00"	"2019-06-14 16:00:00"	"2019-07-02 13:48:00"	71.319504	-156.64932	0	4	0
0	"study_site"	2017	"R204_17"	270170157	270170158	2	1	2	0	"2017-06-25 12:42:00"	"2017-06-26 15:00:00"	"2017-07-20 10:32:00"	71.3207015991211	-156.641998291016	0	4	0
0	"study_site"	2018	"R204_18"	270170756	270170755	2	1	2	0	"2018-06-25 11:40:00"	"2018-06-28 17:10:00"	"2018-07-08 10:27:00"	71.313535	-156.659959	0	4	0
0	"study_site"	2019	"R204_19"	270170089	273145105	2	1	2	0	"2019-06-12 19:02:00"	"2019-06-12 19:03:00"	"2019-07-02 11:28:00"	71.32327	-156.626813	0	3	0
