"year_"	"nestID"	"IDchick"	"IDmother"	"IDfather"	"EPY"	"fate"	"undeveloped"	"comment"
2004	"REPH120_04"	"162115948"	NA	162115947	0	"h"	0	"unknown mother"
2004	"REPH120_04"	"162115949"	NA	162115947	0	"h"	0	"unknown mother"
2004	"REPH120_04"	"162115950"	NA	162115947	0	"h"	0	"unknown mother"
2004	"REPH120_04"	"162115951"	NA	162115947	0	"h"	0	"unknown mother"
2004	"REPH426_04"	"162115952"	NA	162116141	0	"h"	0	"unknown mother"
2004	"REPH426_04"	"162115953"	NA	162116141	0	"h"	0	"unknown mother"
2004	"REPH426_04"	"162115954"	NA	162116141	0	"h"	0	"unknown mother"
2004	"REPH426_04"	"162115955"	NA	NA	1	"h"	0	"unknown mother; unknown EP father"
2004	"REPH402_04"	"162116142"	NA	162116108	0	"h"	0	"unknown mother"
2004	"REPH402_04"	"162116143"	NA	162116108	0	"h"	0	"unknown mother"
2004	"REPH402_04"	"162116144"	NA	162116108	0	"h"	0	"unknown mother"
2004	"REPH246_04"	"162116186"	NA	162115935	0	"h"	0	"unknown mother"
2004	"REPH246_04"	"162116187"	NA	162115935	0	"h"	0	"unknown mother"
2004	"REPH246_04"	"162116188"	NA	162115935	0	"h"	0	"unknown mother"
2004	"REPH246_04"	"162116189"	NA	162115935	0	"h"	0	"unknown mother"
2004	"REPH203_04"	"162116196"	NA	162116131	0	"h"	0	"unknown mother"
2004	"REPH203_04"	"162116197"	NA	162116131	0	"h"	0	"unknown mother"
2004	"REPH203_04"	"162116198"	NA	162116131	0	"h"	0	"unknown mother"
2004	"REPH203_04"	"162116199"	NA	162116131	0	"h"	0	"unknown mother"
2004	"REPH441_04"	"162116202"	NA	162116201	0	"h"	0	"unknown mother"
2004	"REPH441_04"	"162116203"	NA	162116201	0	"h"	0	"unknown mother"
2004	"REPH441_04"	"162116204"	NA	162116201	0	"h"	0	"unknown mother"
2004	"REPH441_04"	"162116205"	NA	162116201	0	"h"	0	"unknown mother"
2004	"REPH315_04"	"162116208"	NA	162116200	0	"h"	0	"unknown mother"
2004	"REPH315_04"	"162116209"	NA	162116200	0	"h"	0	"unknown mother"
2004	"REPH315_04"	"162116210"	NA	162116200	0	"h"	0	"unknown mother"
2004	"REPH315_04"	"162116211"	NA	162116200	0	"h"	0	"unknown mother"
2005	"REPH339_05"	"162116425"	NA	162116417	0	"h"	0	"unknown mother"
2005	"REPH339_05"	"162116426"	NA	NA	1	"h"	0	"unknown mother; unknown EP father"
2005	"REPH339_05"	"162116427"	NA	162116417	0	"h"	0	"unknown mother"
2005	"REPH305_05"	"162116441"	NA	NA	NA	"h"	0	"no genotyping possible"
2005	"REPH305_05"	"162116442"	NA	162116439	0	"h"	0	"unknown mother"
2005	"REPH305_05"	"162116443"	NA	162116439	0	"h"	0	"unknown mother"
2005	"REPH006_05"	"162116476"	NA	162116424	0	"h"	0	"unknown mother"
2005	"REPH006_05"	"162116477"	NA	162116424	0	"h"	0	"unknown mother"
2005	"REPH006_05"	"162116478"	NA	NA	1	"h"	0	"unknown mother; unknown EP father"
2005	"REPH006_05"	"162116479"	NA	NA	1	"h"	0	"unknown mother; unknown EP father"
2005	"REPH416_05"	"162116493"	NA	162116579	0	"h"	0	"unknown mother"
2005	"REPH416_05"	"162116494"	NA	162116579	0	"h"	0	"unknown mother"
2005	"REPH416_05"	"162116495"	NA	NA	NA	"h"	0	"no genotyping possible"
2005	"REPH416_05"	"162116496"	NA	NA	NA	"h"	0	"no genotyping possible"
2019	"REPH281_19"	"163166255"	NA	245140476	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH281_19"	"163166259"	NA	245140476	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH385_19"	"163166264"	NA	245125562	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH385_19"	"163166265"	NA	245125562	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH385_19"	"163166266"	NA	245125562	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH385_19"	"163166267"	NA	245125562	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH023_19"	"163166272"	NA	245125556	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH050_19"	"163166273"	273145140	NA	0	"h"	0	"female caught by us; unknown father"
2019	"REPH050_19"	"163166274"	273145140	NA	0	"h"	0	"female caught by us; unknown father"
2019	"REPH050_19"	"163166275"	273145140	NA	0	"h"	0	"female caught by us; unknown father"
2019	"REPH023_19"	"163166290"	NA	245125556	0	"h"	0	"unknown mother; father caught on the nest"
2019	"REPH050_19"	"163166291"	273145140	NA	0	"h"	0	"female caught by us; unknown father"
2019	"REPH023_19"	"163166292"	NA	245125556	0	"h"	0	"unknown mother; father caught on the nest"
2003	"REPH322_03"	"168180555"	NA	168180620	0	"h"	0	"unknown mother"
2003	"REPH322_03"	"168180556"	NA	168180620	0	"h"	0	"unknown mother"
2003	"REPH322_03"	"168180557"	NA	168180620	0	"h"	0	"unknown mother"
2003	"REPH322_03"	"168180558"	NA	168180620	0	"h"	0	"unknown mother"
2003	"REPH308_03"	"168180559"	NA	168181038	0	"h"	0	"unknown mother"
2003	"REPH308_03"	"168180560"	NA	168181038	0	"h"	0	"unknown mother"
2003	"REPH317_03"	"168180571"	NA	168180646	0	"h"	0	"unknown mother"
2003	"REPH317_03"	"168180572"	NA	168180646	0	"h"	0	"unknown mother"
2003	"REPH317_03"	"168180573"	NA	168180646	0	"h"	0	"unknown mother"
2003	"REPH325_03"	"168180584"	NA	168180541	0	"h"	0	"unknown mother"
2003	"REPH325_03"	"168180585"	NA	168180541	0	"h"	0	"unknown mother"
2003	"REPH325_03"	"168180588"	NA	168180541	0	"h"	0	"unknown mother"
2003	"REPH325_03"	"168180589"	NA	168180541	0	"h"	0	"unknown mother"
2003	"REPH320_03"	"168180616"	NA	168180603	0	"h"	0	"unknown mother"
2003	"REPH320_03"	"168180617"	NA	168180603	0	"h"	0	"unknown mother"
2003	"REPH208_03"	"168180622"	NA	168180605	0	"h"	0	"unknown mother"
2003	"REPH208_03"	"168180623"	NA	168180605	0	"h"	0	"unknown mother"
2003	"REPH208_03"	"168180624"	NA	168180605	0	"h"	0	"unknown mother"
2003	"REPH208_03"	"168180625"	NA	168180605	0	"h"	0	"unknown mother"
2003	"REPH209_03"	"168180626"	NA	168180606	0	"h"	0	"unknown mother"
2003	"REPH209_03"	"168180627"	NA	168180606	0	"h"	0	"unknown mother"
2003	"REPH209_03"	"168180628"	NA	168180606	0	"h"	0	"unknown mother"
2003	"REPH008_03"	"168180634"	NA	168181061	0	"h"	0	"unknown mother"
2003	"REPH008_03"	"168180635"	NA	168181061	0	"h"	0	"unknown mother"
2003	"REPH008_03"	"168180636"	NA	168181061	0	"h"	0	"unknown mother"
2003	"REPH008_03"	"168180637"	NA	168181061	0	"h"	0	"unknown mother"
2003	"REPH308_03"	"168180640"	NA	168181038	0	"h"	0	"unknown mother"
2003	"REPH206_03"	"168180651"	NA	168180630	0	"h"	0	"unknown mother"
2003	"REPH206_03"	"168180652"	NA	168180630	0	"h"	0	"unknown mother"
2003	"REPH206_03"	"168180653"	NA	168180630	0	"h"	0	"unknown mother"
2003	"REPH206_03"	"168180654"	NA	168180630	0	"h"	0	"unknown mother"
2003	"REPH307_03"	"168181069"	NA	168181044	0	"h"	0	"unknown mother"
2003	"REPH307_03"	"168181070"	NA	168181044	0	"h"	0	"unknown mother"
